file 1:
elementi ripetuti: 165

ὁ : 2
καί : 2
δέ : 2
ὅς : 2
εἰμί : 2
αὐτός : 2
οὗτος : 2
μέν : 2
τε : 2
ἐν : 2
ἐγώ : 2
οὐ : 2
εἰς : 2
τις : 2
γάρ : 2
ὡς : 2
σύ : 2
ἐπί : 2
λέγω : 2
πρός : 2
βρότος : 2
ἑξῆς : 2
ἐσθλός : 2
τέχνη : 2
αἰσχρός : 2
σφέτερος : 2
τρίτος : 2
φρουρά : 2
περιπλέω : 2
ἁπλῶς : 2
φθονέω : 2
παρέξ : 2
ἀριστεύς : 2
αἰδοῖος : 2
ἐπιεικής : 2
ναιετάω : 2
ἐξαίφνης : 2
προβάλλω : 2
πίων : 2
αὐτόθεν : 2
δικαστής : 2
χρεών : 2
πτερόν : 2
Ἀγάθων : 2
δίς : 2
ἡνίκα : 2
ἄλκιμος : 2
κάματος : 2
ὀρύσσω : 2
εἰκάζω : 2
οἰκίον : 2
δωρεά : 2
θόρυβος : 2
δημοκρατία : 2
νίζω : 2
κῆδος : 2
ἐπιτέλλω : 2
μαλακός : 2
συνέχω : 2
ἰός : 2
ῥῆμα : 2
Μεσσήνη : 2
ὅρκιον : 2
σκῆπτρον : 2
Κρήτη : 2
κρήνη : 2
Μάγος : 2
παίω : 2
πρεσβεία : 2
ἀναζεύγνυμι : 2
ἰατρός : 2
συγγνώμη : 2
ἐπιμελέομαι : 2
ἔθος : 2
συγγραφεύς : 2
ταράσσω : 2
Φωκεύς : 2
ἐρύκω : 2
μῆτις : 2
συστρατεύω : 2
ἰσχύς : 2
εὐφυής : 2
ἑσπέρα : 2
πέπνυμαι : 2
Ἰθάκη : 2
καταδύω : 2
εἰσφέρω : 2
Δωριεύς : 2
παραπλέω : 2
Αἰνείας : 2
ἀνοίγνυμι : 2
στρέφω : 2
οὐτάω : 2
οὔτις : 2
πληγή : 2
λούω : 2
Σαλαμίς : 2
πειράζω : 2
θρασύς : 2
ἄγνοια : 2
πολεμόω : 2
κτῆμα : 2
ἀναφέρω : 2
χορηγία : 2
ἀμφισβητέω : 2
ἔμπεδος : 2
θαυμαστός : 2
φθείρω : 2
κήδω : 2
στασιάζω : 2
μόλις : 2
Ἰωνία : 2
ἐγγίγνομαι : 2
ἄχος : 2
ἑορτή : 2
Δημοσθένης : 2
ἐμπίμπρημι : 2
Συρία : 2
φαῦλος : 2
ἄλλοτε : 2
θεράπων : 2
Ἀφροδίτη : 2
μέτρον : 2
Θεσσαλία : 2
ἐνέπω : 2
διατίθημι : 2
αὔτως : 2
αὐλή : 2
δύη : 2
ἐντέλλω : 2
κῆρ : 2
πάθος : 2
Θεσσαλός : 2
καταλέγω : 2
ἄλλῃ : 2
Ἴλιος : 2
ἕξ : 2
λαγχάνω : 2
